Churn,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,TotalCharges,customerID,gender,tenure
No,Month-to-month,No,No internet service,Fiber optic,118.01,Yes,Yes,No,Yes,No,Mailed check,No,0,Yes,Yes,Yes,1764.06,ID364,Male,62
Yes,Two year,No,No,No,23.95,No,No,Yes,Yes,No,Credit card,Yes,0,No internet service,No internet service,No internet service,2323.37,ID365,Female,5
Yes,One year,Yes,No,No,31.88,No,No internet service,Yes,Yes,Yes,Bank transfer,Yes,0,No internet service,No,Yes,2804.94,ID366,Male,51
No,Two year,Yes,Yes,Fiber optic,93.03,No phone service,Yes,No internet service,No,Yes,Bank transfer,Yes,1,No,No,Yes,5586.99,ID367,Female,6
Yes,Two year,No,No internet service,Fiber optic,108.25,No,Yes,No,Yes,No,Bank transfer,Yes,1,No internet service,No internet service,No internet service,4408.58,ID368,Male,65
Yes,Month-to-month,Yes,No,No,80.48,No phone service,No internet service,Yes,Yes,No,Electronic check,No,1,No internet service,Yes,No internet service,64.75,ID369,Male,48
Yes,Two year,Yes,No internet service,DSL,41.26,No,No internet service,Yes,No,Yes,Credit card,Yes,0,Yes,Yes,No,4910.15,ID370,Female,13
No,Month-to-month,No,No internet service,DSL,26.66,No,No internet service,Yes,No,No,Mailed check,No,0,No,Yes,No internet service,4711.85,ID371,Female,35
Yes,Two year,No,Yes,No,68.45,Yes,Yes,No internet service,Yes,No,Mailed check,No,0,Yes,No,No internet service,2256.51,ID372,Male,26
Yes,One year,Yes,Yes,DSL,73.7,No,Yes,No,No,Yes,Electronic check,No,1,No internet service,Yes,No internet service,1308.35,ID373,Male,15
Yes,One year,No,No,DSL,59.91,No phone service,Yes,No internet service,Yes,Yes,Credit card,No,1,No,No internet service,No internet service,6520.02,ID374,Male,51
No,Month-to-month,No,No,Fiber optic,39.52,No,Yes,Yes,Yes,No,Bank transfer,Yes,1,No internet service,No internet service,No,4261.76,ID375,Male,68
No,Month-to-month,Yes,No internet service,DSL,85.65,Yes,No,No internet service,No,Yes,Bank transfer,No,1,No internet service,Yes,Yes,6921.39,ID376,Female,24
Yes,One year,No,Yes,No,37.15,No phone service,Yes,Yes,Yes,Yes,Mailed check,No,1,Yes,Yes,Yes,1137.45,ID377,Male,35
Yes,Month-to-month,No,No internet service,Fiber optic,69.95,Yes,Yes,Yes,Yes,Yes,Mailed check,No,0,No,Yes,No internet service,3832.07,ID378,Male,16
Yes,One year,No,No internet service,DSL,87.79,Yes,Yes,No internet service,Yes,No,Bank transfer,No,1,Yes,Yes,No,229.65,ID379,Female,43
Yes,One year,Yes,No,DSL,87.79,No,No internet service,No internet service,No,No,Bank transfer,Yes,1,Yes,No internet service,Yes,3928.01,ID380,Male,18
No,Month-to-month,Yes,No,No,86.86,No,No internet service,No,No,Yes,Electronic check,No,1,Yes,Yes,Yes,4763.09,ID381,Female,30
No,One year,No,Yes,DSL,110.22,No,No internet service,No internet service,No,Yes,Bank transfer,Yes,1,No,No,No,4661.14,ID382,Female,60
Yes,Month-to-month,No,No,No,89.57,Yes,Yes,Yes,Yes,Yes,Credit card,Yes,1,Yes,Yes,Yes,1556.23,ID383,Male,4
No,Month-to-month,Yes,No,No,96.69,Yes,Yes,No internet service,Yes,Yes,Bank transfer,Yes,0,No internet service,No,No internet service,7477.66,ID384,Male,40
No,Month-to-month,No,No internet service,No,110.99,Yes,No internet service,No,Yes,Yes,Mailed check,No,0,Yes,No internet service,No internet service,1111.92,ID385,Male,11
No,One year,No,No internet service,DSL,56.22,Yes,No,No internet service,No,Yes,Mailed check,Yes,0,No internet service,Yes,No,271.08,ID386,Male,67
Yes,One year,No,No,DSL,54.9,No phone service,No,Yes,Yes,No,Mailed check,No,0,Yes,No,No internet service,7686.67,ID387,Male,37
No,One year,Yes,No,DSL,37.18,No,No,No internet service,No,Yes,Bank transfer,Yes,0,Yes,Yes,No,7653.49,ID388,Male,44
No,Month-to-month,No,No internet service,No,116.76,Yes,No internet service,No,No,No,Mailed check,Yes,1,Yes,No,No,46.6,ID389,Female,22
No,Two year,No,Yes,Fiber optic,27.55,No phone service,No,Yes,No,Yes,Electronic check,Yes,1,No,No internet service,Yes,2643.99,ID390,Female,34
No,Month-to-month,Yes,No internet service,DSL,35.39,No,No internet service,No,Yes,Yes,Credit card,Yes,0,Yes,No,No,3883.34,ID391,Male,31
No,Month-to-month,Yes,No internet service,DSL,96.6,No phone service,Yes,No internet service,No,Yes,Mailed check,No,1,No,Yes,No internet service,7677.66,ID392,Female,45
No,Two year,Yes,Yes,No,75.12,No phone service,No,No internet service,Yes,Yes,Bank transfer,No,1,No internet service,No internet service,No,281.22,ID393,Male,11
No,One year,Yes,Yes,DSL,43.08,No,Yes,Yes,Yes,Yes,Electronic check,Yes,1,No,No,No internet service,6237.48,ID394,Female,8
Yes,One year,Yes,Yes,Fiber optic,66.95,Yes,No internet service,No,No,No,Mailed check,No,0,No,No,No,1096.52,ID395,Female,39
No,Month-to-month,Yes,Yes,No,60.81,No phone service,Yes,No internet service,Yes,No,Bank transfer,No,1,Yes,No,No internet service,1435.25,ID396,Male,23
No,Month-to-month,Yes,No,No,60.71,Yes,No,No,No,No,Credit card,No,1,No,No internet service,No internet service,5723.78,ID397,Female,28
No,Month-to-month,No,No internet service,Fiber optic,99.23,Yes,Yes,Yes,No,No,Credit card,Yes,0,Yes,Yes,No,3351.76,ID398,Male,22
Yes,Month-to-month,No,No,No,107.96,No,No,No,No,No,Mailed check,Yes,0,Yes,Yes,No internet service,7796.77,ID399,Male,16
No,Month-to-month,Yes,No,DSL,106.97,No,No internet service,Yes,Yes,No,Credit card,No,1,No,No internet service,No,7473.18,ID400,Male,45
Yes,Two year,No,No internet service,DSL,57.29,Yes,No,Yes,No,Yes,Electronic check,No,1,No internet service,Yes,Yes,8244.47,ID401,Female,60
Yes,Two year,No,No,DSL,34.41,No,Yes,No internet service,Yes,No,Bank transfer,No,1,No,No,No,1159.46,ID402,Female,49
No,Month-to-month,Yes,No,Fiber optic,111.67,Yes,Yes,No,Yes,No,Electronic check,No,1,No internet service,No internet service,No,511.22,ID403,Female,44
Yes,Two year,No,No internet service,DSL,103.87,Yes,Yes,Yes,No,No,Electronic check,Yes,1,No internet service,No,No internet service,6677.3,ID404,Female,69
No,One year,No,Yes,No,52.27,No,No internet service,Yes,Yes,Yes,Mailed check,Yes,0,No,No internet service,No internet service,7577.03,ID405,Male,21
No,One year,Yes,No internet service,DSL,39.7,No,No,No internet service,No,No,Bank transfer,No,1,No,No internet service,No,8127.78,ID406,Male,62
Yes,Two year,No,No,No,118.57,No phone service,No internet service,No,Yes,Yes,Bank transfer,No,0,No,No,No,8001.51,ID407,Male,65
Yes,Two year,No,No,DSL,68.39,No phone service,No,No,Yes,Yes,Credit card,No,1,Yes,No,No internet service,2790.42,ID408,Female,32
No,Month-to-month,No,No internet service,No,35.88,No phone service,No internet service,No,Yes,Yes,Mailed check,Yes,1,No,Yes,Yes,3719.76,ID409,Male,5
No,Month-to-month,No,Yes,DSL,50.51,No,No internet service,Yes,No,Yes,Credit card,Yes,0,No,No internet service,No internet service,5367.82,ID410,Male,57
No,Two year,Yes,No internet service,DSL,30.98,No,No internet service,No,No,Yes,Bank transfer,Yes,0,No,No,Yes,2588.14,ID411,Female,34
Yes,Two year,Yes,Yes,No,98.77,Yes,No internet service,No internet service,No,Yes,Mailed check,No,0,Yes,Yes,Yes,758.39,ID412,Male,18
No,Month-to-month,No,Yes,No,114.2,Yes,No,No,Yes,Yes,Mailed check,Yes,0,No,Yes,No internet service,3514.17,ID413,Male,56
No,One year,Yes,Yes,No,99.57,No phone service,No internet service,No,Yes,Yes,Bank transfer,No,0,No,No,No,1934.63,ID414,Male,47
Yes,Month-to-month,Yes,Yes,No,100.41,Yes,Yes,No internet service,No,Yes,Credit card,Yes,1,No,No internet service,No,6726.74,ID415,Female,66
No,Two year,No,No,DSL,25.94,Yes,No,No internet service,No,Yes,Mailed check,No,0,Yes,Yes,Yes,8264.71,ID416,Male,51
No,Month-to-month,Yes,Yes,DSL,113.43,No,Yes,Yes,Yes,No,Credit card,Yes,0,No,Yes,No internet service,4970.41,ID417,Male,30
Yes,One year,Yes,No internet service,Fiber optic,42.61,No,No internet service,Yes,Yes,Yes,Credit card,Yes,0,Yes,Yes,Yes,5526.63,ID418,Female,15
No,Month-to-month,No,No internet service,DSL,60.26,No phone service,No,Yes,Yes,Yes,Mailed check,No,1,No,No internet service,No internet service,4403.95,ID419,Female,30
No,Two year,Yes,No,No,35.55,Yes,No,No internet service,Yes,Yes,Electronic check,No,0,No internet service,No,No,7813.54,ID420,Male,17
No,One year,Yes,Yes,DSL,91.41,Yes,No internet service,Yes,No,No,Credit card,Yes,0,Yes,Yes,Yes,4517.39,ID421,Male,49
No,One year,Yes,No,No,56.9,No phone service,No,No,No,Yes,Bank transfer,Yes,1,No,No,No,1760.82,ID422,Female,34
Yes,Two year,Yes,Yes,DSL,84.27,No,No internet service,No internet service,No,No,Mailed check,Yes,0,Yes,No,No internet service,7713.98,ID423,Female,26
No,Month-to-month,Yes,No,DSL,80.39,No,Yes,No,Yes,Yes,Bank transfer,No,1,No,No internet service,No internet service,951.98,ID424,Male,31
No,One year,No,No,Fiber optic,27.39,No phone service,Yes,No internet service,Yes,No,Electronic check,Yes,0,No,No internet service,No internet service,3774.05,ID425,Male,70
No,Month-to-month,Yes,No,No,51.89,No phone service,No internet service,No internet service,Yes,Yes,Bank transfer,No,1,No,No internet service,Yes,8573.97,ID426,Male,51
No,Two year,Yes,No internet service,Fiber optic,55.11,No phone service,No,Yes,Yes,No,Bank transfer,Yes,1,No internet service,Yes,Yes,4864.58,ID427,Male,2
No,One year,Yes,No,DSL,87.64,No,No,Yes,Yes,Yes,Mailed check,Yes,1,No internet service,No,No internet service,3743.54,ID428,Female,21
Yes,One year,Yes,No,No,59.34,No phone service,Yes,Yes,Yes,Yes,Bank transfer,Yes,0,No,Yes,Yes,5255.56,ID429,Male,53
Yes,Month-to-month,No,No internet service,No,20.02,No,No,Yes,No,No,Electronic check,Yes,0,No,No internet service,No internet service,6482.11,ID430,Female,41
Yes,One year,No,Yes,No,22.3,Yes,Yes,No internet service,Yes,No,Electronic check,Yes,0,No,No internet service,No,1483.69,ID431,Male,31
No,Two year,Yes,No,DSL,19.27,No,No internet service,No internet service,Yes,No,Electronic check,No,0,Yes,No,Yes,1861.96,ID432,Male,27
No,Month-to-month,Yes,Yes,DSL,23.72,No,No internet service,No,No,Yes,Credit card,Yes,1,Yes,No internet service,Yes,5663.73,ID433,Male,27
No,Two year,Yes,No,Fiber optic,92.94,No phone service,No,No,Yes,No,Credit card,Yes,0,No,No internet service,No internet service,7338.85,ID434,Female,39
No,Two year,No,Yes,DSL,25.53,Yes,Yes,No internet service,No,No,Credit card,No,0,No,Yes,Yes,5014.0,ID435,Female,61
Yes,One year,No,No internet service,DSL,97.57,No phone service,No,No,Yes,Yes,Electronic check,No,1,No internet service,No,Yes,4528.21,ID436,Male,54
No,Two year,No,Yes,Fiber optic,109.88,No phone service,No,Yes,Yes,Yes,Electronic check,No,0,No internet service,No internet service,No internet service,1273.67,ID437,Female,66
No,Month-to-month,No,Yes,DSL,71.99,No phone service,Yes,No,No,No,Bank transfer,No,0,Yes,No,No internet service,6209.95,ID438,Female,27
No,Two year,No,Yes,DSL,98.69,No phone service,Yes,Yes,No,Yes,Electronic check,Yes,0,No internet service,Yes,No,2214.52,ID439,Female,36
Yes,Month-to-month,No,Yes,DSL,76.77,Yes,No,No internet service,Yes,Yes,Credit card,No,1,Yes,No internet service,No,7375.09,ID440,Male,45
Yes,Month-to-month,Yes,No,DSL,47.69,No phone service,Yes,Yes,No,Yes,Bank transfer,Yes,0,No,No internet service,No,5569.45,ID441,Female,44
No,One year,Yes,No,DSL,105.06,No,Yes,No internet service,Yes,Yes,Credit card,No,0,No,No internet service,Yes,5834.2,ID442,Female,33
No,Month-to-month,Yes,No internet service,No,74.59,No phone service,No internet service,No,Yes,Yes,Mailed check,Yes,0,No,No internet service,Yes,1234.65,ID443,Male,33
No,Two year,No,Yes,No,39.1,Yes,No,No,Yes,No,Mailed check,Yes,0,Yes,Yes,No,4152.7,ID444,Male,37
Yes,One year,Yes,No internet service,DSL,66.72,No phone service,No internet service,No,No,Yes,Mailed check,Yes,0,No,No,No,3792.47,ID445,Female,2
Yes,Two year,No,No,No,102.47,Yes,Yes,No,Yes,Yes,Mailed check,Yes,0,Yes,No internet service,No internet service,5876.22,ID446,Male,14
Yes,Two year,No,No,No,99.68,No phone service,No,No internet service,No,Yes,Credit card,No,1,No internet service,No internet service,No internet service,933.84,ID447,Male,9
Yes,One year,Yes,No internet service,No,32.92,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,1,No,No,Yes,2039.52,ID448,Female,42
Yes,Two year,No,Yes,No,95.0,No phone service,No,Yes,Yes,Yes,Electronic check,No,0,No internet service,No,No,2463.45,ID449,Male,50
No,One year,Yes,Yes,DSL,30.52,Yes,No internet service,No internet service,Yes,No,Credit card,Yes,1,Yes,No internet service,No internet service,2157.74,ID450,Female,62
No,One year,No,Yes,No,67.14,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,Yes,Yes,No,6443.98,ID451,Male,58
No,One year,Yes,No internet service,Fiber optic,19.28,Yes,No,No internet service,No,Yes,Mailed check,No,1,No,No internet service,No,2107.41,ID452,Male,17
No,Month-to-month,No,Yes,No,49.21,Yes,No,No,Yes,No,Credit card,Yes,0,Yes,No,No internet service,6853.39,ID453,Female,50
Yes,Month-to-month,No,Yes,Fiber optic,74.49,No phone service,No,No,Yes,No,Credit card,No,1,No,No,No,1603.64,ID454,Female,45
Yes,Two year,Yes,Yes,DSL,71.41,Yes,No,Yes,Yes,No,Electronic check,Yes,1,Yes,No,No,2599.78,ID455,Female,69
Yes,Month-to-month,No,Yes,No,72.63,Yes,No internet service,Yes,No,Yes,Electronic check,No,1,Yes,Yes,No internet service,8197.28,ID456,Male,39
Yes,Two year,Yes,Yes,No,77.51,No phone service,No,Yes,No,No,Credit card,No,1,Yes,No,Yes,6309.67,ID457,Male,3
Yes,Month-to-month,No,No internet service,No,29.04,No,No internet service,No,Yes,Yes,Electronic check,Yes,1,Yes,No internet service,No internet service,7652.85,ID458,Female,8
No,Two year,No,Yes,DSL,31.35,No,No internet service,No,Yes,Yes,Credit card,Yes,1,No,No internet service,Yes,57.13,ID459,Female,36
Yes,Two year,Yes,No internet service,No,80.55,No phone service,No internet service,No internet service,Yes,Yes,Bank transfer,Yes,1,No,Yes,No,8384.12,ID460,Male,66
Yes,Month-to-month,Yes,No internet service,No,111.04,No phone service,Yes,Yes,Yes,Yes,Credit card,No,0,Yes,Yes,No,8267.28,ID461,Female,47
No,Month-to-month,No,No internet service,No,38.3,Yes,Yes,No,Yes,Yes,Electronic check,No,0,Yes,Yes,Yes,376.33,ID462,Male,3
Yes,Two year,No,Yes,Fiber optic,70.58,No,No internet service,No internet service,No,Yes,Electronic check,Yes,0,No,No,No,5003.75,ID463,Female,8
No,One year,No,Yes,No,105.59,Yes,Yes,No internet service,Yes,Yes,Bank transfer,Yes,1,Yes,No internet service,Yes,6691.53,ID464,Male,12
Yes,Two year,Yes,No,Fiber optic,117.4,Yes,No internet service,No internet service,Yes,Yes,Bank transfer,No,0,No,Yes,No internet service,7170.13,ID465,Female,62
No,Month-to-month,No,No internet service,No,101.54,Yes,Yes,Yes,Yes,No,Mailed check,Yes,1,Yes,No internet service,No,1761.35,ID466,Female,43
No,One year,Yes,No,Fiber optic,75.29,No phone service,Yes,Yes,Yes,Yes,Credit card,Yes,1,No internet service,Yes,No,1257.92,ID467,Male,71
No,Month-to-month,No,No internet service,Fiber optic,46.57,Yes,No internet service,No internet service,No,Yes,Mailed check,No,0,No internet service,Yes,No,7286.26,ID468,Male,43
No,One year,Yes,No,DSL,108.22,No,Yes,Yes,Yes,Yes,Credit card,No,1,No,No,No internet service,5390.76,ID469,Female,39
No,Two year,No,No,DSL,91.68,No phone service,No internet service,No internet service,Yes,Yes,Electronic check,No,1,No,No internet service,Yes,2230.86,ID470,Male,48
Yes,Two year,Yes,No,DSL,24.88,No,Yes,No,Yes,Yes,Bank transfer,Yes,1,Yes,No,No,7171.67,ID471,Male,43
Yes,Two year,No,Yes,Fiber optic,88.86,No phone service,No internet service,Yes,Yes,No,Electronic check,Yes,1,Yes,No,No,8005.81,ID472,Female,53
Yes,One year,Yes,No internet service,Fiber optic,30.53,No,No,Yes,Yes,No,Bank transfer,Yes,0,No,No internet service,Yes,3784.22,ID473,Female,35
No,One year,Yes,No internet service,No,22.3,No,Yes,Yes,No,Yes,Mailed check,No,0,No,Yes,No,6192.04,ID474,Female,20
No,Month-to-month,No,Yes,DSL,96.9,No,No,Yes,No,Yes,Bank transfer,Yes,0,No internet service,No internet service,No,7733.38,ID475,Male,12
Yes,Two year,No,Yes,Fiber optic,47.32,No phone service,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,Yes,No,No,578.81,ID476,Female,62
Yes,Two year,No,Yes,Fiber optic,50.24,Yes,No,Yes,No,Yes,Electronic check,Yes,1,No internet service,No internet service,No internet service,302.64,ID477,Female,17
Yes,Month-to-month,No,Yes,DSL,71.82,No,Yes,No,No,Yes,Electronic check,No,1,Yes,Yes,No,1331.94,ID478,Female,27
Yes,Month-to-month,No,Yes,Fiber optic,94.87,Yes,Yes,Yes,Yes,No,Credit card,Yes,0,No internet service,No internet service,Yes,2875.73,ID479,Male,30
Yes,Month-to-month,No,Yes,Fiber optic,85.98,No phone service,Yes,Yes,No,Yes,Bank transfer,Yes,0,No internet service,Yes,No,2581.97,ID480,Female,49
Yes,One year,No,No internet service,No,106.96,No,Yes,No,Yes,No,Electronic check,Yes,0,No,No,No internet service,4337.47,ID481,Female,33
No,Month-to-month,Yes,Yes,DSL,73.37,Yes,No,No internet service,Yes,Yes,Bank transfer,No,0,No internet service,No,Yes,1577.65,ID482,Male,10
Yes,Month-to-month,Yes,Yes,Fiber optic,91.32,Yes,No internet service,No,Yes,Yes,Bank transfer,Yes,0,Yes,Yes,No,8418.13,ID483,Female,32
Yes,One year,Yes,Yes,Fiber optic,36.83,No phone service,Yes,No,Yes,Yes,Electronic check,No,1,No internet service,Yes,No,1963.69,ID484,Female,27
Yes,Month-to-month,No,Yes,DSL,62.33,No,No,No,No,No,Mailed check,Yes,1,No,No,No internet service,4427.74,ID485,Female,33
No,Two year,Yes,No,Fiber optic,32.15,Yes,No internet service,No internet service,No,No,Credit card,No,1,No,Yes,Yes,1907.67,ID486,Male,4
No,Two year,Yes,No,DSL,118.1,Yes,Yes,Yes,Yes,No,Mailed check,Yes,0,No,Yes,Yes,571.28,ID487,Male,38
No,Two year,Yes,Yes,Fiber optic,95.08,No,No internet service,Yes,Yes,No,Bank transfer,No,0,Yes,No internet service,No internet service,7969.66,ID488,Female,71
No,Month-to-month,No,No internet service,No,69.21,Yes,No internet service,Yes,No,Yes,Bank transfer,No,0,Yes,No internet service,No,8557.88,ID489,Male,55
No,Month-to-month,Yes,Yes,No,25.91,Yes,No internet service,No internet service,No,Yes,Electronic check,Yes,0,No,No internet service,No internet service,5287.34,ID490,Female,21
Yes,Two year,Yes,Yes,Fiber optic,35.15,No phone service,No,No,Yes,No,Credit card,No,1,No,No internet service,No,8042.48,ID491,Male,26
No,One year,Yes,Yes,Fiber optic,97.28,No phone service,No internet service,No internet service,No,No,Electronic check,No,1,No,Yes,No internet service,7313.17,ID492,Female,31
Yes,Two year,No,Yes,DSL,60.8,No phone service,No,No internet service,No,No,Bank transfer,Yes,1,Yes,Yes,No internet service,1159.26,ID493,Male,51
No,Month-to-month,No,Yes,No,112.07,No phone service,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No,No,No,1197.34,ID494,Female,54
No,Two year,No,Yes,DSL,65.88,Yes,No,No internet service,No,No,Bank transfer,No,0,No internet service,No,No,8547.22,ID495,Male,40
Yes,Month-to-month,No,No internet service,Fiber optic,41.55,No phone service,No,No,Yes,No,Bank transfer,Yes,0,No,Yes,No internet service,8308.78,ID496,Male,23
No,One year,No,Yes,Fiber optic,25.77,No phone service,No internet service,Yes,No,Yes,Mailed check,No,0,Yes,No internet service,No internet service,4528.87,ID497,Female,33
Yes,Month-to-month,Yes,No internet service,Fiber optic,57.26,Yes,No internet service,Yes,Yes,Yes,Bank transfer,No,0,No,No,No internet service,2468.18,ID498,Male,19
Yes,One year,No,No,Fiber optic,115.75,No,No,No internet service,Yes,No,Credit card,No,1,No internet service,No internet service,Yes,4608.03,ID499,Female,60
No,One year,No,No internet service,No,96.32,No,Yes,Yes,Yes,No,Credit card,No,1,No,No internet service,No,2694.47,ID500,Female,11
No,Month-to-month,No,Yes,No,37.46,No,Yes,Yes,No,No,Credit card,Yes,0,Yes,No,No,6657.33,ID501,Female,52
Yes,Two year,Yes,Yes,Fiber optic,59.53,No,Yes,Yes,No,Yes,Credit card,Yes,0,Yes,No,No,5325.82,ID502,Female,25
No,Month-to-month,No,Yes,DSL,105.01,No,No,No,No,Yes,Electronic check,Yes,0,No,Yes,No,6710.73,ID503,Male,48
Yes,Two year,No,No,No,58.78,No phone service,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No,No internet service,Yes,425.42,ID504,Male,26
Yes,Two year,Yes,No internet service,DSL,33.62,Yes,No internet service,No internet service,No,No,Mailed check,No,1,No internet service,No internet service,No internet service,3487.38,ID505,Female,44
No,Month-to-month,No,No internet service,No,106.79,No phone service,No,No,Yes,Yes,Bank transfer,No,0,No internet service,No internet service,No,7116.81,ID506,Female,48
Yes,Two year,Yes,No internet service,No,83.93,No phone service,Yes,Yes,Yes,Yes,Credit card,Yes,0,No,No internet service,Yes,7373.47,ID507,Female,56
Yes,Two year,No,No,DSL,22.52,Yes,No,No,Yes,Yes,Electronic check,No,0,No internet service,No internet service,No,3961.15,ID508,Male,45
Yes,Month-to-month,No,No internet service,No,93.1,Yes,No,No internet service,Yes,No,Bank transfer,Yes,1,No,No internet service,No,145.11,ID509,Male,5
No,Two year,Yes,Yes,Fiber optic,104.24,Yes,No internet service,No internet service,Yes,No,Electronic check,Yes,0,Yes,No,No,282.89,ID510,Female,11
Yes,One year,No,Yes,Fiber optic,59.07,Yes,No internet service,No internet service,No,Yes,Credit card,Yes,1,No internet service,Yes,No,4247.22,ID511,Male,60
Yes,Two year,Yes,No internet service,DSL,72.09,Yes,No internet service,No internet service,Yes,Yes,Credit card,No,1,Yes,No,No internet service,6621.67,ID512,Female,69
Yes,Month-to-month,Yes,No,DSL,109.2,No,Yes,No internet service,No,No,Bank transfer,Yes,1,No,No internet service,Yes,1584.29,ID513,Male,35
Yes,One year,Yes,No internet service,No,47.72,No phone service,No internet service,Yes,Yes,Yes,Credit card,No,0,No internet service,No,No,3305.45,ID514,Female,32
Yes,Month-to-month,No,Yes,Fiber optic,23.35,Yes,No internet service,Yes,No,No,Bank transfer,No,0,No,No internet service,No,488.56,ID515,Male,9
No,Month-to-month,Yes,No,DSL,51.58,No phone service,No,No internet service,Yes,No,Credit card,No,1,No,Yes,Yes,6547.0,ID516,Female,64
Yes,Month-to-month,No,No internet service,DSL,47.41,No phone service,Yes,Yes,No,No,Credit card,No,0,No internet service,No,No,3051.99,ID517,Male,14
No,Month-to-month,No,Yes,No,66.36,Yes,No,Yes,No,No,Bank transfer,No,1,Yes,No,No,6770.12,ID518,Female,15
Yes,Month-to-month,No,No internet service,Fiber optic,97.87,No,No internet service,Yes,No,Yes,Electronic check,No,1,Yes,No internet service,No internet service,1448.41,ID519,Male,68
No,Month-to-month,No,Yes,DSL,26.98,No,No internet service,No,Yes,No,Electronic check,No,1,Yes,No internet service,No,1699.77,ID520,Male,48
No,Two year,Yes,Yes,No,42.16,No,No,No internet service,Yes,No,Bank transfer,No,0,Yes,No,No internet service,5430.4,ID521,Male,36
Yes,One year,Yes,No internet service,No,66.33,No phone service,No,No,Yes,Yes,Electronic check,Yes,0,No,No,Yes,390.42,ID522,Male,17
No,One year,No,No,Fiber optic,39.33,Yes,No,No internet service,Yes,No,Mailed check,Yes,1,No internet service,No,Yes,6026.24,ID523,Male,6
Yes,One year,No,No internet service,DSL,75.54,No,Yes,No internet service,No,No,Mailed check,Yes,1,Yes,No,No internet service,3230.66,ID524,Female,43
Yes,One year,No,No internet service,No,62.79,No phone service,No internet service,No internet service,Yes,Yes,Mailed check,No,0,No,No internet service,No internet service,2488.84,ID525,Male,2
No,Two year,Yes,No internet service,No,75.53,Yes,No,Yes,No,No,Credit card,No,0,Yes,Yes,No,567.1,ID526,Female,59
No,One year,No,No,No,49.5,No phone service,No,No internet service,Yes,Yes,Credit card,Yes,0,Yes,Yes,No internet service,1082.49,ID527,Female,57
Yes,Two year,No,Yes,No,80.14,No,Yes,No,No,No,Credit card,Yes,0,No internet service,Yes,No internet service,1305.27,ID528,Female,59
Yes,Month-to-month,No,Yes,Fiber optic,98.63,Yes,Yes,No,No,Yes,Credit card,No,1,No internet service,No internet service,No,8128.2,ID529,Male,9
No,One year,No,No,No,86.19,No phone service,No internet service,No internet service,Yes,No,Credit card,Yes,1,Yes,No,No internet service,1939.48,ID530,Female,27
No,Two year,Yes,No,DSL,95.39,Yes,No,No,No,No,Credit card,Yes,0,No,No,No internet service,1983.69,ID531,Male,57
Yes,Month-to-month,No,No,No,37.62,Yes,No,No internet service,Yes,No,Mailed check,Yes,1,No internet service,No internet service,No internet service,6120.5,ID532,Male,51
No,Month-to-month,Yes,Yes,No,61.05,No,No internet service,No,No,Yes,Credit card,Yes,0,Yes,No,Yes,5972.63,ID533,Female,21
Yes,One year,Yes,Yes,No,57.34,Yes,Yes,No,Yes,Yes,Bank transfer,Yes,0,No internet service,No internet service,No,2951.8,ID534,Female,35
Yes,Month-to-month,No,No,No,45.56,No phone service,No,Yes,No,No,Electronic check,Yes,1,Yes,No internet service,No,3489.29,ID535,Male,63
Yes,One year,Yes,Yes,DSL,47.49,Yes,No internet service,No,Yes,No,Credit card,No,0,No,No,No internet service,2802.58,ID536,Male,71
No,One year,No,No internet service,Fiber optic,118.38,No phone service,No,No internet service,Yes,Yes,Bank transfer,Yes,1,No internet service,Yes,No internet service,7410.29,ID537,Male,42
Yes,Two year,Yes,No,Fiber optic,92.87,No,Yes,Yes,Yes,Yes,Electronic check,No,0,Yes,No internet service,No internet service,1359.12,ID538,Male,44
No,One year,Yes,Yes,Fiber optic,42.99,No phone service,Yes,No,Yes,Yes,Bank transfer,Yes,1,Yes,No internet service,Yes,369.26,ID539,Female,70
Yes,One year,Yes,Yes,No,101.59,No,No,Yes,Yes,Yes,Electronic check,Yes,0,No internet service,No internet service,No,5201.56,ID540,Female,30
No,One year,No,Yes,DSL,77.34,No phone service,No internet service,No,Yes,Yes,Bank transfer,Yes,1,Yes,Yes,No internet service,4830.66,ID541,Female,52
Yes,Month-to-month,Yes,Yes,Fiber optic,34.62,No,No,No,No,Yes,Credit card,No,0,Yes,Yes,No internet service,5899.22,ID542,Female,56
Yes,One year,No,No,No,35.37,No,Yes,No,Yes,Yes,Bank transfer,Yes,0,No,Yes,No internet service,7841.59,ID543,Male,25
No,Two year,No,Yes,No,38.7,Yes,No,No internet service,Yes,Yes,Electronic check,No,1,No internet service,No,Yes,6494.01,ID544,Male,44
Yes,Month-to-month,No,Yes,Fiber optic,78.71,No,No internet service,No,Yes,Yes,Mailed check,Yes,1,No,No,No,3595.46,ID545,Female,33
No,Month-to-month,Yes,Yes,DSL,29.49,No,No internet service,No,No,Yes,Bank transfer,Yes,0,Yes,No internet service,No internet service,7166.18,ID546,Female,19
